Level of Care,FACILITY NAME,FACILITY TELEPHONE,TOWN,COUNTY,OWNERSHIP TYPE,MEDICARE CERTIFIED,MEDICAID CERTIFIED,Total Licensed Beds,Licensed CCNH Beds,Licensed CCNH Beds Occupied,Licensed RHNS Beds,Licensed RHNS Beds Occupied,CCNH Room Rate: PRIVATE (1 BED),CCNH Room Rate: SEMI-PRIVATE (2 BEDS),CCNH Room Rate: 3 - 4 BEDS,RHNS Room Rate: PRIVATE (1 BED),RHNS Room Rate: SEMI-PRIVATE (2 BEDS),RHNS Room Rate: 3 - 4 BEDS,Total number of patients,<18,18 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85 - 94,95 and older,Unknown age,Male,Female,Unknown gender,Married,Never married,Widowed,Separated,Divorced,Unknown marital status,White,African American,Hispanic or Latino Origin,American Indian or Alaskan Native,Asian or Pacific Islander,Other or Unknown,Medicaid fee-for-service -- CT,Medicaid fee-for-service -- Out of state,Medicaid managed care -- Out of state,Medicaid pending -- CT,Medicaid pending -- Out of state,Medicare fee-for-service (traditional),Medicare managed care,Veterans administration,CCRC -- Life Care,Long-term care insurance --  CT Partnership for Long-Term Care,Long-Term care insurance -- Not CT Partnership,Private insurance (not long-term care),Private pay (no insurance),Unknown Payment Source,Reporting Year,Location 1
CCNH,"Carolton Chronic & Convalescent Hospital, Inc.",(203) 255-3573,Fairfield,FAIRFIELD,For Profit,1,1,229,229,182,0,0,500,435,,,,,182,0,0,0,0,2,7,17,32,98,26,0,46,136,0,27,28,115,1,11,0,175,5,1,0,1,0,79,0,0,5,0,34,14,0,0,1,5,4,39,1,2013,"400 Mill Plain Road CT 06824- (41.145776475000446, -73.26632185099965)
Fairfield, CT"
CCNH,Walnut Hill Care Center,(860) 223-3617,New Britain,HARTFORD,For Profit,1,1,160,160,126,0,0,325,250,225,,,,126,0,0,1,0,5,18,26,22,43,11,0,49,77,0,22,35,45,3,21,0,99,7,19,0,1,0,105,0,0,9,0,6,0,0,0,0,0,2,4,0,2013,"55 Grand Street CT 06052- (41.66216811400045, -72.78505176099964)
New Britain, CT"
CCNH,Greenwich Woods Health Care Center,(203) 531-1335,Greenwich,FAIRFIELD,For Profit,1,1,217,217,198,0,0,488,467,,,,,198,0,0,0,9,6,15,59,85,24,0,0,52,146,0,38,31,108,2,19,0,182,9,5,0,2,0,128,0,0,9,0,34,5,0,0,0,0,4,13,5,2013,"1165 King Street CT 06831-0178 (41.06434356700049, -73.69551801999967)
Greenwich, CT"
CCNH,"Aurora Senior Living of East Hartford, LLC",(860) 568-7520,East Hartford,HARTFORD,For Profit,1,1,145,145,119,0,0,405,381,,,,,119,0,1,1,6,16,37,25,19,12,2,0,58,61,0,20,51,18,0,30,0,75,22,18,0,4,0,96,0,0,5,0,10,3,0,0,0,1,0,3,1,2013,"51 Applegate Lane CT 06118- (41.76640237400045, -72.60975628099965)
East Hartford, CT"
CCNH,Chesterfield's Health Care Center,(860) 526-5363,Chester,MIDDLESEX,For Profit,1,1,60,60,50,0,0,407,376,,,,,50,0,1,0,0,1,4,5,15,18,6,0,16,34,0,9,11,21,0,9,0,49,1,0,0,0,0,40,0,0,3,0,2,1,0,0,0,0,0,4,0,2013,"132 Main Street CT 06412- (41.40206354000048, -72.44440729799965)
Chester, CT"
CCNH,Harrington Court,(860) 537-2339,Colchester,NEW_LONDON,For Profit,1,1,130,130,123,0,0,395,371,,,,,123,0,0,0,0,4,6,14,32,53,14,0,32,91,0,17,9,74,0,23,0,120,3,0,0,0,0,59,0,0,6,0,21,5,0,0,0,0,5,11,16,2013,"59 Harrington Court Drive CT 06415-1295 (41.57787524200046, -72.33138803999964)
Colchester, CT"
CCNH,Village Green of Wallingford Rehabilitation and Health Center,(203) 265-6771,Wallingford,NEW_HAVEN,For Profit,1,1,180,180,135,0,0,414,391,,,,,135,0,0,0,2,5,21,35,27,35,10,0,51,84,0,20,37,43,0,35,0,120,12,2,0,1,0,89,1,0,9,0,20,10,1,0,0,0,0,5,0,2013,"55 Kondracki Lane CT 06492- (41.43579903200049, -72.81200532299965)
Wallingford, CT"
CCNH,Talmadge Park Health Care,(203) 469-2316,East Haven,NEW_HAVEN,For Profit,1,1,90,90,84,0,0,350,320,,,,,84,0,0,0,0,0,2,9,23,39,11,0,24,60,0,21,8,42,0,13,0,74,7,3,0,0,0,58,0,0,4,0,9,3,0,0,0,0,0,8,2,2013,"38 Talmadge Avenue CT 06512- (41.26296814400047, -72.86371573699967)
East Haven, CT"
CCNH,"Glastonbury Health Care Center, Inc.",(860) 659-1905,Glastonbury,HARTFORD,For Profit,1,1,105,105,105,0,0,463,438,416,,,,105,0,0,0,1,1,2,7,20,59,15,0,21,84,0,18,7,72,0,8,0,100,2,2,0,1,0,51,0,0,15,0,20,7,0,0,0,0,1,11,0,2013,"1175 Hebron Avenue CT 06033- (41.718237101000454, -72.56571964999966)
Glastonbury, CT"
CCNH,Maefair Health Care Center,(203) 459-5152,Trumbull,FAIRFIELD,For Profit,1,1,134,134,128,0,0,471,459,,,,,128,0,0,0,0,1,8,11,27,65,16,0,37,91,0,17,19,0,1,11,80,99,18,11,0,0,0,87,0,0,0,2,19,7,0,0,0,0,1,8,4,2013,"21 Maefair Court CT 06611- (41.236423345000446, -73.19580723099966)
Trumbull, CT"
CCNH/RHNS,Chestelm Health and Rehabilitation Center,(860) 873-1455,Moodus,MIDDLESEX,For Profit,1,1,76,63,56,13,13,375,320,,250,225,210,69,0,0,0,0,0,0,5,18,36,10,0,11,58,0,9,4,48,0,8,0,64,1,2,0,2,0,29,0,0,5,0,7,0,0,0,2,0,0,16,10,2013,"534 Town Street, P.O. Box 719 CT 06469- (41.48548784200045, -72.44673185199963)
Moodus, CT"
CCNH,Sharon Health Care Center,(860) 364-1002,Sharon,LITCHFIELD,For Profit,1,1,88,88,87,0,0,435,420,,,,,87,0,0,0,0,0,5,16,26,29,11,0,25,62,0,25,10,41,0,11,0,81,5,0,1,0,0,43,15,0,5,1,16,1,0,0,0,0,0,6,0,2013,"27 Hospital Hill Road CT 06069- (41.8795247860005, -73.48014629399967)
Sharon, CT"
CCNH,"Hewitt Health and Rehabilitation Center, Inc.",(203) 924-4671,Shelton,FAIRFIELD,For Profit,1,1,160,160,118,0,0,417,384,,,,,118,0,0,0,0,3,9,11,30,46,19,0,28,90,0,20,18,71,1,8,0,98,5,4,0,0,11,87,0,0,6,0,11,10,0,0,0,0,0,4,0,2013,"45 Maltby Street CT 06484- (41.31220130300045, -73.09162242499963)
Shelton, CT"
CCNH,Apple Rehab Cromwell,(860) 635-1010,Cromwell,MIDDLESEX,For Profit,1,1,85,85,64,0,0,443,398,,,,,64,0,0,0,0,1,1,7,16,34,5,0,18,46,0,11,12,38,0,3,0,61,0,2,0,1,0,35,0,0,8,0,9,7,0,0,0,0,0,4,1,2013,"156 Berlin Road CT 06416- (41.60717661600046, -72.71240039299965)
Cromwell, CT"
CCNH,Whitney Center,(203) 848-2611,Hamden,NEW_HAVEN,Non-profit,1,1,59,59,55,0,0,412,379,,,,,55,0,0,0,0,0,0,0,12,27,16,0,11,44,0,7,2,44,0,2,0,55,0,0,0,0,0,5,0,0,0,0,1,0,0,47,0,0,0,2,0,2013,"200 Leeder Hill Drive CT 06517- (41.346426764000455, -72.92138974599965)
Hamden, CT"
CCNH,Manchester Manor Health Care Center,(860) 646-0129,Manchester,HARTFORD,For Profit,1,1,126,126,110,0,0,401,368,,,,,110,0,0,0,0,0,1,3,25,66,15,0,31,79,0,20,10,68,2,10,0,106,2,1,1,0,0,52,0,0,10,0,14,4,0,9,0,0,1,19,1,2013,"385 West Center Street CT 06040- (41.76980736700045, -72.55234499299962)
Manchester, CT"
CCNH,"Elim Park Baptist Home, Inc.",(203) 272-3547,Cheshire,NEW_HAVEN,Non-profit,1,1,90,90,87,0,0,525,495,,,,,87,0,0,0,0,1,0,7,19,42,18,0,21,66,0,13,2,70,0,2,0,87,0,0,0,0,0,50,0,0,2,0,18,3,0,0,0,0,14,0,0,2013,"140 Cook Hill Road CT 06410- (41.46686786900045, -72.90215009599967)
Cheshire, CT"
CCNH,Cambridge Health and Rehabilitation Center,(203) 372-0313,Fairfield,FAIRFIELD,For Profit,1,1,160,160,157,0,0,484,460,,,,,157,0,0,1,0,2,8,14,35,77,20,0,35,122,0,33,25,86,0,13,0,145,7,3,0,1,1,95,0,0,14,0,13,15,0,0,0,0,0,19,1,2013,"2428 Easton Turnpike CT 06825- (41.21143118800046, -73.24605666999963)
Fairfield, CT"
CCNH,Kimberly Hall North,(860) 688-6443,Windsor,HARTFORD,For Profit,1,1,150,150,138,0,0,338,313,,,,,138,0,0,0,0,0,5,12,42,70,9,0,36,102,0,29,15,77,0,17,0,104,29,5,0,0,0,103,0,0,7,0,11,2,0,0,0,2,0,13,0,2013,"1 Emerson Drive CT 06095- (41.837881462000496, -72.66675581899966)
Windsor, CT"
CCNH,Meridian Manor Corporation,(203) 757-1228,Waterbury,NEW_HAVEN,For Profit,1,1,94,94,75,0,0,233,197,184,,,,75,0,0,0,2,6,16,17,12,16,6,0,22,53,0,9,29,24,2,11,0,56,10,9,0,0,0,59,0,0,3,0,4,2,0,0,0,0,0,6,1,2013,"1132 Meriden Road CT 06705- (41.55249727300048, -72.98244157299968)
Waterbury, CT"
CCNH,"Pierce Memorial Baptist Home, Inc.",(860) 774-9050,Brooklyn,WINDHAM,Non-profit,1,1,72,72,69,0,0,334.43,334.43,,,,,69,0,0,0,0,1,2,8,25,18,15,0,20,49,0,8,8,41,2,10,0,68,0,0,0,1,0,46,0,0,8,0,10,2,0,0,0,0,0,3,0,2013,"44 Canterbury Road, P.O. Box 326 CT 06234- (41.78439263700045, -71.94954548899966)
Brooklyn, CT"
CCNH,"Ledgecrest Health Care Center, Inc.",(860) 828-0583,Kensington,HARTFORD,For Profit,1,1,60,60,50,0,0,415,395,335,,,,50,0,0,0,0,0,6,2,7,28,7,0,12,38,0,7,3,36,0,4,0,46,1,3,0,0,0,35,0,0,5,0,2,0,0,0,1,0,1,6,0,2013,"154 Kensington Road CT 06037- (41.62950207600045, -72.76991423599964)
Kensington, CT"
CCNH,Glen Hill Center,(203) 744-2840,Danbury,FAIRFIELD,For Profit,1,1,100,100,90,0,0,460,408,,,,,90,0,0,0,1,0,0,8,30,45,6,0,25,65,0,20,6,61,0,3,0,87,2,0,1,0,0,46,0,0,4,0,22,10,0,0,0,0,1,5,2,2013,"1 Glen Hill Road CT 06811- (41.41439295400045, -73.44940906099964)
Danbury, CT"
CCNH,Apple Rehab Mystic,(860) 536-9655,Mystic,NEW_LONDON,For Profit,1,1,60,60,51,0,0,424,388,,,,,51,0,0,0,0,0,1,5,13,27,5,0,10,41,0,11,4,33,0,3,0,50,1,0,0,0,0,31,0,0,3,0,7,1,0,0,0,0,0,9,0,2013,"28 Broadway CT 06355- (41.35237313900046, -71.96393881899962)
Mystic, CT"
CCNH,Cook-Willow Health Center,(860) 283-8208,Plymouth,LITCHFIELD,For Profit,1,1,60,60,58,0,0,300,270,,,,,58,0,0,0,0,2,5,5,18,24,4,0,21,37,0,13,9,28,0,8,0,58,0,0,0,0,0,47,0,0,0,0,3,2,0,0,0,0,0,6,0,2013,"81 Hillside Avenue CT 06782- (41.66727771900048, -73.05778505499967)
Plymouth, CT"
CCNH,Cassena Care at Norwalk,(203) 853-0010,Norwalk,FAIRFIELD,For Profit,1,1,150,150,109,0,0,444.15,396.9,,,,,109,0,0,1,2,10,21,32,32,11,0,0,53,56,0,8,59,23,0,19,0,70,31,6,1,1,0,87,0,0,6,0,12,1,0,0,0,0,0,2,1,2013,"23 Prospect Avenue CT 06850- (41.114222389000474, -73.42207463099965)
Norwalk, CT"
CCNH,Woodlake at Tolland,(860) 872-2999,Tolland,TOLLAND,Non-profit,1,1,130,130,127,0,0,442,406.85,,,,,127,0,0,0,0,0,5,8,37,55,22,0,25,102,0,30,7,75,0,15,0,123,2,1,0,1,0,69,0,0,4,0,29,7,0,0,0,0,3,14,1,2013,"26 Shenipsit Lake Road CT 06084- (41.871330308000495, -72.41414607299964)
Tolland, CT"
CCNH,Masonicare Health Center,(203) 679-5900,Wallingford,NEW_HAVEN,Non-profit,1,1,382,382,376,0,0,449,403,380,,,,376,0,0,0,0,3,9,35,105,181,43,0,114,262,0,86,34,231,1,24,0,360,9,4,1,2,0,225,0,0,4,0,122,6,0,0,0,0,12,7,0,2013,"22 Masonic Avenue CT 06492- (41.45945670800046, -72.83742714999966)
Wallingford, CT"
CCNH/RHNS,Noble Horizons,(860) 435-9851,Salisbury,LITCHFIELD,Non-profit,1,1,91,61,58,30,28,460,425,,420,,,86,0,0,0,0,2,0,6,25,41,12,0,17,69,0,14,5,58,0,9,0,85,0,0,0,1,0,47,0,0,4,0,9,0,0,0,0,0,1,25,0,2013,"17 Cobble road CT 06068- (41.99019070200046, -73.42042819999966)
Salisbury, CT"
CCNH,Grimes  Center - Yale New Haven Health,(203) 867-8300,New Haven,NEW_HAVEN,Non-profit,1,1,114,114,99,0,0,500,470,,,,,99,0,0,1,3,2,12,23,14,39,5,0,33,66,0,29,25,28,0,17,0,67,29,3,0,0,0,60,0,0,1,0,15,8,0,0,0,0,5,8,2,2013,"1354 Chapel Street CT 06511- (41.3103741700005, -72.94026757899962)
New Haven, CT"
CCNH,Evergreen Woods Health Center,(203) 488-8000,North Branford,NEW_HAVEN,For Profit,1,0,50,50,46,0,0,425,365,,,,,46,0,0,0,0,0,0,1,7,28,10,0,11,35,0,13,0,30,0,3,0,46,0,0,0,0,0,0,0,0,0,0,7,1,0,7,0,25,0,6,0,2013,"88 Notch Hill Road CT 06471- (41.31756901800048, -72.75162291399965)
North Branford, CT"
CCNH,Mystic Healthcare and Rehabilitation Center,(860) 536-6070,Mystic,NEW_LONDON,For Profit,1,1,100,100,85,0,0,403,341,,,,,85,0,0,0,2,2,1,9,21,39,11,0,23,62,0,13,13,47,0,12,0,82,2,0,0,1,0,52,0,0,4,0,11,2,0,0,0,1,0,10,5,2013,"475 High Street CT 06355- (41.364226061000466, -71.97406660199965)
Mystic, CT"
CCNH,"Alzheimer's Resource Center of Connecticut, Inc.",(860) 628-9000,Plantsville,HARTFORD,Non-profit,1,1,120,120,119,0,0,,470,,,,,119,0,0,0,0,0,3,10,43,56,7,0,38,81,0,31,6,70,0,12,0,115,0,3,1,0,0,73,0,0,6,0,0,0,0,0,1,6,0,33,0,2013,"1261 South Main Street CT 06479- (41.57291121200046, -72.89588629299965)
Plantsville, CT"
CCNH,Bradley Home Infirmary/Pavilion,(203) 235-5716,Meriden,NEW_HAVEN,Non-profit,1,1,30,30,26,0,0,325,325,,,,,26,0,0,0,0,0,0,1,2,15,8,0,2,24,0,1,4,16,0,5,0,26,0,0,0,0,0,19,0,0,0,2,2,0,0,0,0,0,0,3,0,2013,"320 Colony Street CT 06450- (41.53394243100047, -72.80360835299967)
Meriden, CT"
CCNH,Hancock Hall,(203) 794-9466,Danbury,FAIRFIELD,For Profit,1,1,96,96,94,0,0,460,430,,,,,94,0,0,0,0,0,0,4,21,45,24,0,11,83,0,17,3,72,0,2,0,90,1,2,0,1,0,59,0,0,5,0,15,1,0,0,0,0,1,13,0,2013,"31 Staples Street CT 06810- (41.39685292100046, -73.47366804999967)
Danbury, CT"
RHNS,Marshall Lane Manor,(203) 734-3393,Derby,NEW_HAVEN,For Profit,1,1,120,0,0,120,112,,,,210,190,185,112,0,0,0,0,2,2,14,39,49,6,0,29,83,0,3,29,65,1,14,0,106,2,3,1,0,0,92,0,0,7,0,0,0,0,0,1,0,12,0,0,2013,"101 Marshall Lane CT 06418- (41.31803569300047, -73.05118968299968)
Derby, CT"
CCNH,The Kent Specialty Care Center,(860) 927-5368,Kent,LITCHFIELD,For Profit,1,1,90,90,70,0,0,445,418,,,,,70,0,0,1,2,4,11,16,12,19,5,0,22,48,0,5,15,31,1,18,0,64,2,0,0,1,3,42,7,0,4,0,6,1,0,0,0,0,0,10,0,2013,"46 Maple Street CT 06757- (41.72115856700049, -73.47372777099963)
Kent, CT"
CCNH,Bloomfield Health Care Center,(860) 242-8595,Bloomfield,HARTFORD,For Profit,1,1,120,120,108,0,0,389,360,,,,,108,0,0,0,1,3,14,27,27,27,9,0,36,72,0,33,2,61,0,12,0,19,84,5,0,0,0,80,0,0,7,0,7,2,0,0,0,0,7,2,3,2013,"355 Park Avenue CT 06002- (41.8225634370005, -72.71256632199965)
Bloomfield, CT"
CCNH,Trinity Hill Care Center,(860) 951-1060,Hartford,HARTFORD,For Profit,1,1,144,144,140,0,0,414,389,,,,,140,0,0,3,15,28,56,24,10,4,0,0,91,49,0,9,101,10,0,20,0,42,35,61,2,0,0,130,0,0,1,0,7,0,0,0,0,0,0,0,2,2013,"151 Hillside Avenue CT 06106- (41.74864571100045, -72.69808674799964)
Hartford, CT"
CCNH,Jewish Home for the Elderly,(203) 365-6400,Fairfield,FAIRFIELD,Non-profit,1,1,360,360,352,0,0,465,445,,,,,352,0,0,0,0,0,3,21,81,198,49,0,94,258,0,72,38,204,0,38,0,338,7,7,0,0,0,235,0,0,12,0,28,10,0,0,0,0,0,67,0,2013,"175 Jefferson Street CT 06825- (41.22331351800045, -73.24525583399964)
Fairfield, CT"
CCNH,Curtis Home St. Elizabeth Center,(203) 237-4338,Meriden,NEW_HAVEN,Non-profit,1,1,60,60,58,0,0,316,296,,,,,58,0,0,0,0,0,4,6,16,27,5,0,16,42,0,10,7,31,0,10,0,49,6,3,0,0,0,50,0,0,1,0,5,0,0,0,0,0,0,2,0,2013,"380 Crown Street CT 06450- (41.52877766600045, -72.80512796799962)
Meriden, CT"
CCNH,Meriden Center,(203) 238-2645,Meriden,NEW_HAVEN,For Profit,1,1,125,125,118,0,0,485,415,,,,,118,0,0,0,0,6,9,17,34,47,5,0,44,74,0,28,25,52,0,13,0,102,3,8,1,1,3,80,0,0,14,0,12,4,0,0,0,0,0,8,0,2013,"845 Paddock Avenue CT 06450- (41.50647592900049, -72.77696511699963)
Meriden, CT"
CCNH,Essex Meadows Health Center,(860) 767-7201,Essex,MIDDLESEX,For Profit,1,0,45,45,38,0,0,416.19,350.19,,,,,38,0,0,0,0,0,0,1,9,18,10,0,5,33,0,3,3,27,0,5,0,37,0,0,0,1,0,0,0,0,0,0,9,0,0,20,0,0,0,9,0,2013,"30 Bokum Road CT 06426- (41.33865577600045, -72.41125730199963)
Essex, CT"
CCNH,Beechwood Rehabilitation & Nursing Center,(860) 442-4363,New London,NEW_LONDON,For Profit,1,1,60,60,57,0,0,356,324,,,,,57,0,0,0,0,2,4,3,13,26,9,0,18,39,0,9,8,35,0,5,0,48,6,2,0,1,0,21,0,0,1,0,19,3,0,0,0,0,0,11,2,2013,"31 Vauxhall Street CT 06320- (41.36113367700045, -72.10457768199967)
New London, CT"
CCNH,"Villa Maria Nursing and Rehabilitation Community, Inc.",(860) 564-3387,Plainfield,WINDHAM,For Profit,1,1,62,62,54,0,0,325,295,270,,,,54,0,0,0,0,2,3,6,17,19,7,0,11,43,0,8,4,36,0,6,0,54,0,0,0,0,0,36,0,0,3,0,6,0,0,0,1,2,0,6,0,2013,"20 Babcock Avenue CT 06374- (41.678883113000495, -71.91779722499967)
Plainfield, CT"
CCNH,Geer Nursing and Rehabilitation Center,(860) 824-5137,Canaan,LITCHFIELD,Non-profit,1,1,120,120,103,0,0,475,405,,,,,103,0,0,0,0,0,7,12,30,40,14,0,28,75,0,18,13,62,0,10,0,102,0,1,0,0,0,61,2,0,11,0,0,11,0,0,0,0,3,15,0,2013,"99 South Canaan Road CT 06018- (42.01593330600048, -73.33227189199965)
Canaan, CT"
CCNH,Bride Brook Health and Rehabilitation Center,(860) 739-4007,Niantic,NEW_LONDON,For Profit,1,1,130,130,115,0,0,397,350,,,,,115,0,0,1,0,4,5,9,23,59,14,0,37,78,0,21,13,64,3,14,0,112,1,0,1,1,0,63,0,0,10,0,23,3,0,0,0,0,2,14,0,2013,"23 Liberty Way CT 06357- (41.320548819000464, -72.24339749699965)
Niantic, CT"
CCNH,Apple Rehab Laurel Woods,(203) 466-6850,East Haven,NEW_HAVEN,For Profit,1,1,120,120,112,0,0,475,435,,,,,112,0,0,1,1,1,7,11,31,46,14,0,28,84,0,19,23,58,0,12,0,104,4,3,0,0,1,72,0,0,4,0,23,11,0,0,0,0,0,1,1,2013,"451 North High Street CT 06512- (41.29273849700047, -72.86683726799964)
East Haven, CT"
CCNH,"Monsignor Bojnowski Manor, Inc",(860) 229-0336,New Britain,HARTFORD,Non-profit,1,1,60,60,55,0,0,360,345,,,,,55,0,0,0,0,0,0,3,8,33,11,0,14,41,0,9,13,31,0,2,0,54,1,0,0,0,0,34,0,0,4,0,8,0,0,0,0,0,0,9,0,2013,"50 Pulaski Street CT 06053- (41.67541337500046, -72.79760467899968)
New Britain, CT"
CCNH,Orange Health and Rehabilitation Center,(203) 795-0835,Orange,NEW_HAVEN,For Profit,1,1,60,60,60,0,0,416,375,,,,,60,0,0,0,0,0,5,7,32,13,3,0,20,40,0,5,3,42,1,9,0,49,6,2,0,0,3,43,0,0,5,0,5,5,0,0,0,0,0,2,0,2013,"225 Boston Post Road CT 06477- (41.26959376500048, -72.99809023299963)
Orange, CT"
CCNH,Watertown Convalarium,(860) 274-6748,Watertown,LITCHFIELD,For Profit,1,1,46,46,46,0,0,350,320,,,,,46,0,0,0,0,0,0,0,8,27,11,0,5,41,0,5,2,31,0,8,0,45,0,0,0,1,0,39,0,0,2,0,0,0,0,0,1,0,0,4,0,2013,"560 Woodbury Road CT 06795- (41.60200748000045, -73.13856951799966)
Watertown, CT"
CCNH,Apple Rehab of Rocky Hill,(860) 529-8661,Rocky Hill,HARTFORD,For Profit,1,1,120,120,114,0,0,430,386,,,,,114,0,0,0,2,6,5,14,31,45,11,0,19,95,0,31,20,49,0,14,0,106,1,5,0,0,2,61,0,0,5,0,16,2,0,0,0,0,6,20,4,2013,"45 Elm Street CT 06067- (41.664728407000496, -72.64117909399965)
Rocky Hill, CT"
CCNH,Beacon Brook Health Center,(203) 729-9889,Naugatuck,NEW_HAVEN,For Profit,1,1,126,126,120,0,0,452,437,,,,,120,0,0,0,0,3,9,12,36,43,17,0,34,86,0,13,7,86,1,13,0,111,6,3,0,0,0,89,0,0,4,0,16,7,0,0,0,0,2,2,0,2013,"89 Weid Drive CT 06770- (41.46955646800046, -73.03197658599964)
Naugatuck, CT"
CCNH,Douglas Manor,(860) 423-4636,Windham,WINDHAM,For Profit,1,1,90,90,84,0,0,395,370,,,,,84,0,0,0,1,1,3,8,21,44,6,0,17,67,0,10,3,64,0,7,0,81,1,2,0,0,0,42,0,0,7,0,11,2,0,0,0,0,2,20,0,2013,"103 North Road CT 06280- (41.705142827000486, -72.16334746899963)
Windham, CT"
CCNH,New London Rehab and Care of Waterford,(860) 442-0471,Waterford,NEW_LONDON,For Profit,1,1,120,120,105,0,0,385,335,,,,,105,0,0,0,0,1,4,20,38,39,3,0,40,65,0,37,14,38,8,8,0,84,14,5,0,2,0,75,0,0,4,0,8,0,0,0,0,5,0,11,2,2013,"88 Clark Lane CT 06385- (41.34879101200045, -72.12760788099968)
Waterford, CT"
CCNH,Apple Rehab Coccomo,(203) 238-1606,Meriden,NEW_HAVEN,For Profit,1,1,100,100,76,0,0,434,387,,,,,76,0,0,0,0,1,4,9,16,36,10,0,17,59,0,13,6,46,1,10,0,66,1,9,0,0,0,62,0,0,2,0,3,5,0,0,0,0,0,4,0,2013,"33 Cone Avenue CT 06450- (41.52543895500048, -72.75331312199967)
Meriden, CT"
CCNH,Avon Health Center,(860) 673-2521,Avon,HARTFORD,For Profit,1,1,120,120,113,0,0,415,397,383,,,,113,0,0,0,1,0,0,6,32,61,13,0,24,89,0,27,10,66,1,9,0,111,1,0,0,0,1,75,0,0,0,0,10,5,0,0,0,0,3,20,0,2013,"652 West Avon Road CT 06001- (41.774226367000495, -72.86189973999967)
Avon, CT"
CCNH,McLean Health Center,(860) 658-3700,Simsbury,HARTFORD,Non-profit,1,1,119,119,102,0,0,457,437,,,,,102,0,0,0,0,2,6,15,15,52,12,0,21,81,0,22,10,53,0,17,0,100,0,0,0,2,0,56,0,0,0,0,15,2,0,0,0,4,2,23,0,2013,"75 Great Pond Road CT 06070- (41.88564510500049, -72.82562360399965)
Simsbury, CT"
CCNH,Northbridge Healthcare Center,(203) 336-0232,Bridgeport,FAIRFIELD,For Profit,1,1,145,145,145,0,0,427,407,,,,,145,0,0,0,1,3,5,36,45,44,11,0,54,91,0,25,28,68,3,21,0,62,47,29,0,4,3,126,0,0,3,0,9,5,0,0,0,0,0,2,0,2013,"2875 Main Street CT 06606- (41.201472036000496, -73.20351781899967)
Bridgeport, CT"
CCNH,The Pines at Bristol Center for Nursing and Rehabilitation,(860) 589-1682,Bristol,HARTFORD,For Profit,1,1,132,132,130,0,0,380,352,,,,,130,0,0,0,2,4,8,14,34,54,14,0,41,89,0,19,15,76,0,20,0,127,0,3,0,0,0,77,0,0,11,0,16,7,0,0,1,0,0,12,6,2013,"61 Bellevue Avenue CT 06010- (41.67512490500047, -72.94042168699963)
Bristol, CT"
CCNH,"Fairview Healthcare of Southport, LLC",(203) 259-7894,Southport,FAIRFIELD,For Profit,1,1,120,120,112,0,0,435,405,,,,,112,0,0,2,2,5,20,25,23,31,4,0,50,62,0,30,38,30,0,14,0,86,20,5,0,0,1,78,0,0,6,0,22,0,0,0,0,0,0,6,0,2013,"930 Mill Hill Terrace CT 06890- (41.143902864000495, -73.28730259799966)
Southport, CT"
CCNH,"Marlborough Health Center, Inc.",(860) 295-9531,Marlborough,HARTFORD,For Profit,1,1,120,120,90,0,0,460,400,375,,,,90,0,0,0,0,5,12,18,24,19,12,0,22,68,0,11,7,62,0,10,0,83,5,2,0,0,0,62,0,0,10,0,6,2,0,0,0,0,0,5,5,2013,"85 Stage Harbor Road CT 06447- (41.65248318400046, -72.47685555399966)
Marlborough, CT"
CCNH,Southington Care Center,(860) 621-9559,Southington,HARTFORD,Non-profit,1,1,130,130,128,0,0,460,425,,,,,128,0,0,0,1,1,14,15,21,61,15,0,27,101,0,18,14,84,0,12,0,127,0,0,0,0,1,60,0,0,11,0,20,6,0,0,0,2,5,24,0,2013,"45 Meriden Avenue CT 06489- (41.59569982500045, -72.87618343599962)
Southington, CT"
CCNH,The Suffield House,(860) 668-6111,Suffield,HARTFORD,For Profit,1,1,128,128,124,0,0,410,390,,,,,124,0,0,0,0,2,5,8,27,56,26,0,30,94,0,26,8,80,0,10,0,124,0,0,0,0,0,58,0,0,6,0,25,9,0,0,0,0,0,26,0,2013,"One Canal Road CT 06078- (41.98809726200045, -72.64867565699967)
Suffield, CT"
CCNH,"Hebrew Home and Hospital, Inc.",(860) 523-3800,West Hartford,HARTFORD,Non-profit,1,1,277,277,272,0,0,410,385,,,,,272,0,0,0,0,2,8,25,59,137,41,0,65,207,0,63,37,145,1,26,0,213,28,3,0,2,26,181,0,0,24,0,21,1,2,0,0,0,4,39,0,2013,"One Abrahms Boulevard CT 06117- (41.787896789000456, -72.74520864399966)
West Hartford, CT"
CCNH,Norwichtown Rehabilitation and Care Center,(860) 889-2614,Norwich,NEW_LONDON,For Profit,1,1,120,120,110,0,0,385,355,,,,,110,0,0,0,0,2,6,14,28,44,16,0,26,84,0,17,12,63,1,17,0,105,4,0,1,0,0,65,0,0,5,0,21,2,0,0,0,0,4,12,1,2013,"93 West Town Street CT 06360- (41.5512830670005, -72.10217786499965)
Norwich, CT"
